"issue_key","type","severity","rule","component","line","message","status","resolution","effort","tags","assignee","creation_date","update_date","local_file","fix_decision","fix_status"
"AZ3z0UYoTxAEZ3HyhF6b","CODE_SMELL","MINOR","typescript:S4325","JeiTy29_cognIA-frontend:src/hooks/questionnaires/useQuestionnaireHistoryV2.ts","47","This assertion is unnecessary since it does not change the type of the expression.","OPEN",,"1min","redundant;type-dependent",,"2026-05-04T16:24:26+0000","2026-05-04T16:24:26+0000","src/hooks/questionnaires/useQuestionnaireHistoryV2.ts","pending_analysis","open"
"AZ3z0UU0TxAEZ3HyhF6Z","CODE_SMELL","MINOR","typescript:S1874","JeiTy29_cognIA-frontend:src/pages/Plataforma/Cuestionario/Cuestionario.tsx","1","'MutableRefObject' is deprecated.","OPEN",,"15min","cwe;obsolete;type-dependent",,"2026-05-04T16:24:26+0000","2026-05-04T16:24:26+0000","src/pages/Plataforma/Cuestionario/Cuestionario.tsx","pending_analysis","open"
"AZ3z0UU0TxAEZ3HyhF6a","CODE_SMELL","MINOR","typescript:S1874","JeiTy29_cognIA-frontend:src/pages/Plataforma/Cuestionario/Cuestionario.tsx","96","'MutableRefObject' is deprecated.","OPEN",,"15min","cwe;obsolete;type-dependent",,"2026-05-04T16:24:26+0000","2026-05-04T16:24:26+0000","src/pages/Plataforma/Cuestionario/Cuestionario.tsx","pending_analysis","open"
"AZ3yTwP9woXvY9hAXUXn","CODE_SMELL","CRITICAL","typescript:S2004","JeiTy29_cognIA-frontend:src/pages/Administrador/Usuarios/Usuarios.tsx","494","Refactor this code to not nest functions more than 4 levels deep.","OPEN",,"20min","brain-overload",,"2026-05-04T09:23:23+0000","2026-05-04T09:23:23+0000","src/pages/Administrador/Usuarios/Usuarios.tsx","pending_analysis","open"
"AZ3wqajsYZ92uI63ktjz","CODE_SMELL","CRITICAL","typescript:S3776","JeiTy29_cognIA-frontend:src/pages/Autenticacion/Registro/Registro.tsx","241","Refactor this function to reduce its Cognitive Complexity from 17 to the 15 allowed.","OPEN",,"7min","brain-overload",,"2026-05-04T01:43:15+0000","2026-05-04T01:43:15+0000","src/pages/Autenticacion/Registro/Registro.tsx","pending_analysis","open"
"AZ3wqafMYZ92uI63ktjx","CODE_SMELL","CRITICAL","typescript:S3776","JeiTy29_cognIA-frontend:src/pages/Plataforma/Historial/HistorialBase.tsx","242","Refactor this function to reduce its Cognitive Complexity from 27 to the 15 allowed.","OPEN",,"17min","brain-overload",,"2026-05-04T01:43:15+0000","2026-05-04T01:43:15+0000","src/pages/Plataforma/Historial/HistorialBase.tsx","pending_analysis","open"
"AZ3wqaimYZ92uI63ktjy","CODE_SMELL","CRITICAL","typescript:S3776","JeiTy29_cognIA-frontend:src/pages/Plataforma/MiCuenta/MiCuenta.tsx","255","Refactor this function to reduce its Cognitive Complexity from 17 to the 15 allowed.","OPEN",,"7min","brain-overload",,"2026-05-04T01:43:15+0000","2026-05-04T01:43:15+0000","src/pages/Plataforma/MiCuenta/MiCuenta.tsx","pending_analysis","open"
"AZ3u73fm8DXjeodrL6yb","CODE_SMELL","MAJOR","css:S7924","JeiTy29_cognIA-frontend:src/pages/Plataforma/Cuestionario/Cuestionario.css","899","Text does not meet the minimal contrast requirement with its background.","OPEN",,"5min","accessibility;contrast;css;wcag",,"2026-05-03T17:40:35+0000","2026-05-03T17:40:35+0000","src/pages/Plataforma/Cuestionario/Cuestionario.css","pending_analysis","open"
"AZ3u73fm8DXjeodrL6yc","CODE_SMELL","MAJOR","css:S7924","JeiTy29_cognIA-frontend:src/pages/Plataforma/Cuestionario/Cuestionario.css","905","Text does not meet the minimal contrast requirement with its background.","OPEN",,"5min","accessibility;contrast;css;wcag",,"2026-05-03T17:40:35+0000","2026-05-03T17:40:35+0000","src/pages/Plataforma/Cuestionario/Cuestionario.css","pending_analysis","open"
"AZ3u73fm8DXjeodrL6yd","CODE_SMELL","MAJOR","css:S7924","JeiTy29_cognIA-frontend:src/pages/Plataforma/Cuestionario/Cuestionario.css","911","Text does not meet the minimal contrast requirement with its background.","OPEN",,"5min","accessibility;contrast;css;wcag",,"2026-05-03T17:40:35+0000","2026-05-03T17:40:35+0000","src/pages/Plataforma/Cuestionario/Cuestionario.css","pending_analysis","open"
"AZ3u73fm8DXjeodrL6ye","CODE_SMELL","MAJOR","css:S7924","JeiTy29_cognIA-frontend:src/pages/Plataforma/Cuestionario/Cuestionario.css","917","Text does not meet the minimal contrast requirement with its background.","OPEN",,"5min","accessibility;contrast;css;wcag",,"2026-05-03T17:40:35+0000","2026-05-03T17:40:35+0000","src/pages/Plataforma/Cuestionario/Cuestionario.css","pending_analysis","open"
"AZ3u73fm8DXjeodrL6yf","CODE_SMELL","MAJOR","css:S7924","JeiTy29_cognIA-frontend:src/pages/Plataforma/Cuestionario/Cuestionario.css","923","Text does not meet the minimal contrast requirement with its background.","OPEN",,"5min","accessibility;contrast;css;wcag",,"2026-05-03T17:40:35+0000","2026-05-03T17:40:35+0000","src/pages/Plataforma/Cuestionario/Cuestionario.css","pending_analysis","open"
"AZ3u73fm8DXjeodrL6yg","CODE_SMELL","MAJOR","css:S7924","JeiTy29_cognIA-frontend:src/pages/Plataforma/Cuestionario/Cuestionario.css","1098","Text does not meet the minimal contrast requirement with its background.","OPEN",,"5min","accessibility;contrast;css;wcag",,"2026-05-03T17:40:35+0000","2026-05-03T17:40:35+0000","src/pages/Plataforma/Cuestionario/Cuestionario.css","pending_analysis","open"
"AZ3u73fm8DXjeodrL6yh","CODE_SMELL","MAJOR","css:S7924","JeiTy29_cognIA-frontend:src/pages/Plataforma/Cuestionario/Cuestionario.css","1103","Text does not meet the minimal contrast requirement with its background.","OPEN",,"5min","accessibility;contrast;css;wcag",,"2026-05-03T17:40:35+0000","2026-05-03T17:40:35+0000","src/pages/Plataforma/Cuestionario/Cuestionario.css","pending_analysis","open"
"AZ3u73fm8DXjeodrL6yi","CODE_SMELL","MAJOR","css:S7924","JeiTy29_cognIA-frontend:src/pages/Plataforma/Cuestionario/Cuestionario.css","1109","Text does not meet the minimal contrast requirement with its background.","OPEN",,"5min","accessibility;contrast;css;wcag",,"2026-05-03T17:40:35+0000","2026-05-03T17:40:35+0000","src/pages/Plataforma/Cuestionario/Cuestionario.css","pending_analysis","open"
"AZ3u73fm8DXjeodrL6yj","CODE_SMELL","MAJOR","css:S7924","JeiTy29_cognIA-frontend:src/pages/Plataforma/Cuestionario/Cuestionario.css","1114","Text does not meet the minimal contrast requirement with its background.","OPEN",,"5min","accessibility;contrast;css;wcag",,"2026-05-03T17:40:35+0000","2026-05-03T17:40:35+0000","src/pages/Plataforma/Cuestionario/Cuestionario.css","pending_analysis","open"
"AZ3u73he8DXjeodrL6yk","CODE_SMELL","MINOR","typescript:S7735","JeiTy29_cognIA-frontend:src/pages/Plataforma/Cuestionario/Cuestionario.tsx","808","Unexpected negated condition.","OPEN",,"2min","readability",,"2026-05-03T17:40:35+0000","2026-05-03T17:40:35+0000","src/pages/Plataforma/Cuestionario/Cuestionario.tsx","pending_analysis","open"
